State,Louvain2
Alabama,Cluster1
Alaska,Cluster6
Arizona,Cluster6
Arkansas,Cluster2
California,Cluster6
Colorado,Cluster7
Connecticut,Cluster4
Delaware,Cluster5
Florida,Cluster1
Georgia,Cluster1
Hawaii,Cluster6
Idaho,Cluster6
Illinois,Cluster3
Indiana,Cluster3
Iowa,Cluster7
Kansas,Cluster7
Kentucky,Cluster3
Louisiana,Cluster1
Maine,Cluster4
Maryland,Cluster5
Massachusetts,Cluster4
Michigan,Cluster3
Minnesota,Cluster7
Mississippi,Cluster1
Missouri,Cluster2
Montana,Cluster6
Nebraska,Cluster7
Nevada,Cluster6
New_Hampshire,Cluster4
New_Jersey,Cluster5
New_Mexico,Cluster6
New_York,Cluster5
North_Carolina,Cluster5
North_Dakota,Cluster7
Ohio,Cluster3
Oklahoma,Cluster2
Oregon,Cluster6
Pennsylvania,Cluster5
Rhode_Island,Cluster4
South_Carolina,Cluster5
South_Dakota,Cluster7
Tennessee,Cluster3
Texas,Cluster2
Utah,Cluster6
Vermont,Cluster4
West_Virginia,Cluster3
Virginia,Cluster3
Washington,Cluster6
Wisconsin,Cluster7
Wyoming,Cluster6
District_of_Columbia,Cluster5
